
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1965"	"0.5787"	"0"	"0.8178"	"3.7404"	"5.1147"	"4.3042"	"6.2902"	"6.8054"	"6.158"	"3.8675"	"3.6298"	"3.2005"
"1966"	"0.56"	"0"	"0.5583"	"2.9325"	"5.7092"	"4.0803"	"7.926"	"4.1696"	"9.7828"	"9.0695"	"6.8384"	"1.9886"
"1967"	"0.9999"	"0"	"1.576"	"2.609"	"6.0518"	"5.8472"	"8.7787"	"3.6414"	"3.3112"	"6.2442"	"2.4297"	"2.1594"
"1968"	"0"	"1.0462"	"2.5749"	"5.8035"	"4.0897"	"4.5791"	"5.4662"	"3.4651"	"8.4802"	"5.3951"	"3.4593"	"1.2266"
"1969"	"0"	"0.1467"	"1.1311"	"2.5602"	"5.6309"	"2.4134"	"7.0984"	"7.333"	"4.738"	"10.2352"	"4.6947"	"2.3354"
"1970"	"0.1467"	"1.0462"	"0.9994"	"3.5876"	"7.2927"	"4.699"	"6.0049"	"5.7881"	"5.701"	"9.0948"	"1.7576"	"0.6837"
"1971"	"0.2902"	"1.1118"	"1.1112"	"4.7441"	"6.1049"	"4.5796"	"4.2922"	"6.9997"	"7.9705"	"9.4339"	"1.9123"	"1.8392"
"1972"	"0.1991"	"0"	"0"	"2.5489"	"10.3878"	"4.2824"	"6.2251"	"3.5371"	"9.7012"	"9.3919"	"3.364"	"3.5681"
"1973"	"0"	"0"	"0"	"2.2972"	"4.3331"	"5.6597"	"6.5285"	"7.0027"	"6.9945"	"8.1891"	"2.7784"	"2.0685"
"1974"	"0"	"0"	"0"	"3.3755"	"5.6031"	"3.0643"	"7.4287"	"5.0579"	"8.653"	"7.6542"	"1.4078"	"0.3211"
"1975"	"0"	"0.88"	"1.7829"	"1.9715"	"6.1378"	"5.001"	"7.8825"	"6.4228"	"8.0462"	"7.9529"	"4.1075"	"0.8779"
"1976"	"0"	"0"	"0.2507"	"3.7986"	"5.0425"	"3.1013"	"6.32"	"8.243"	"4.9819"	"6.704"	"5.5044"	"0.79"
"1977"	"0"	"0.796"	"1.3896"	"3.2304"	"7.9679"	"4.6931"	"5.5171"	"4.2403"	"6.3322"	"10.0554"	"5.9776"	"0.2182"
"1978"	"0"	"0.9465"	"0.7264"	"3.0791"	"5.4275"	"4.3661"	"7.2819"	"5.9335"	"7.3171"	"7.8136"	"5.1827"	"2.4801"
"1979"	"0"	"1.0689"	"0.6233"	"2.4324"	"4.4038"	"5.0754"	"5.633"	"5.5049"	"9.02"	"7.1986"	"6.0676"	"0.7102"
"1980"	"0"	"0"	"1.181"	"3.2447"	"5.3533"	"3.6169"	"6.1635"	"5.2368"	"8.0828"	"6.9073"	"4.8556"	"1.223"
"1981"	"0.7849"	"0"	"1.5102"	"2.3582"	"6.4784"	"4.7823"	"5.9954"	"6.4993"	"9.0911"	"8.5608"	"4.1374"	"1.0001"
