
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1987"	"16.253"	"16.994"	"19.154"	"21.785"	"21.66"	"20.777"	"21.116"	"20.389"	"21.138"	"20.194"	"18.89"	"17.077"
"1988"	"16.123"	"18.846"	"20.774"	"21.14"	"21.489"	"21.009"	"19.966"	"19.891"	"19.561"	"20.177"	"18.436"	"16.747"
"1989"	"16.165"	"17.51"	"19.234"	"21.684"	"21.511"	"20.244"	"19.77"	"19.837"	"19.897"	"20.204"	"18.357"	"16.924"
"1990"	"16.277"	"18.155"	"20.327"	"22.313"	"20.276"	"20.082"	"19.957"	"19.723"	"20.455"	"19.744"	"18.539"	"16.856"
"1991"	"17.416"	"18.228"	"20.815"	"21.534"	"21.859"	"20.14"	"19.545"	"19.498"	"20.382"	"19.728"	"17.834"	"16.528"
"1992"	"15.266"	"18.162"	"19.661"	"21.69"	"21.017"	"20.312"	"20.222"	"19.965"	"20.028"	"19.826"	"18.728"	"16.098"
"1993"	"16.124"	"17.589"	"19.87"	"21.81"	"21.963"	"20.801"	"20.237"	"20.335"	"19.526"	"19.636"	"18.326"	"16.326"
"1994"	"16.412"	"18.005"	"20.165"	"21.324"	"21.816"	"20.571"	"19.714"	"20.463"	"20.195"	"19.711"	"17.658"	"15.873"
"1995"	"16.251"	"18.429"	"19.641"	"21.656"	"20.385"	"21.484"	"20.129"	"20.485"	"20.13"	"19.96"	"19.67"	"16.884"
"1996"	"16.897"	"17.799"	"20.282"	"21.273"	"22.435"	"20.562"	"20.519"	"20.05"	"19.84"	"19.575"	"18.899"	"16.525"
"1997"	"16.494"	"18.097"	"19.778"	"20.493"	"21.73"	"21.963"	"20.8"	"20.4"	"20.589"	"20.317"	"19.543"	"17.784"
"1998"	"17.409"	"19.151"	"21.091"	"22.531"	"22.206"	"21.736"	"20.514"	"20.64"	"19.972"	"19.945"	"19.102"	"17.137"
"1999"	"16.621"	"17.92"	"20.711"	"21.517"	"19.99"	"20.274"	"20.203"	"20.439"	"20.606"	"20.132"	"18.726"	"16.744"
"2000"	"17.082"	"18.447"	"19.772"	"21.677"	"20.97"	"19.921"	"20.006"	"19.945"	"20.286"	"19.777"	"18.883"	"16.556"
"2001"	"17.111"	"19.48"	"20.631"	"21.716"	"21.535"	"20.698"	"20.692"	"20.041"	"20.717"	"19.644"	"18.91"	"16.866"
"2002"	"17.228"	"17.528"	"20.462"	"22.147"	"21.633"	"20.787"	"20.892"	"20.597"	"21.268"	"20.53"	"18.843"	"17.401"
